Electoral District (2013 Representation Order),Province/Territory,Population (2021 Census),% Filipinos,Number of Filipinos (2021 Census),Number of Filipinos (2016 Census),% of Population with Knowledge of French,Healthcare Workers (NOC Classification),Number of Recent Immigrants (2016-2021),Recent Immigrants from PH (2016-2021),Number of People with Bachelors Degree or Higher,Median Age,Bikol Mother Tongue,"Bisaya, n.o.s. Mother Tongue",Cebuano Mother Tongue,Hiligaynon Mother Tongue,Ilocano Mother Tongue,Kankanaey Mother Tongue,Kinaray-a Mother Tongue,Pampangan Mother Tongue,Pangasinan Mother Tongue,Tagalog Mother Tongue,Waray-Waray Mother Tongue,Second Most Spoken Philippine Language,"Healthcare Workers (per 100,000)",% of Recent Immigrants from PH (2016-2021),"Number of People with Bachelors Degree or Higher (per 100,000)",Filipino Growth Rate % (2016-2021),% Second Most Spoken Philippine Language,"Recent Migrants from the Philippines per 100,000"
Desnethé--Missinippi--Churchill River,Saskatchewan,71488,0.8,600,3000,0,1560,520,260,4790,31.2,10,5,25,5,5,0,0,0,0,310,0,Cebuano,2182.18,50.00,6700.43,-80.00,6.93,363.70
Carlton Trail--Eagle Creek,Saskatchewan,83395,2.2,1785,1135,0,3590,1020,445,9255,39.2,5,25,35,20,55,10,0,10,5,915,10,Ilocano,4304.81,43.63,11097.79,57.27,5.05,533.61
Moose Jaw--Lake Centre--Lanigan,Saskatchewan,80547,2.3,1805,1045,0,3185,1525,610,9940,43.2,0,30,50,35,10,10,0,5,0,930,0,Cebuano,3954.21,40.00,12340.62,72.73,4.67,757.32
Prince Albert,Saskatchewan,80845,2.8,2170,1670,0.1,3560,1660,750,8815,39.2,0,30,50,35,10,10,0,5,0,930,0,Cebuano,4403.49,45.18,10903.58,29.94,4.67,927.70
Regina--Lewvan,Saskatchewan,98492,5.8,5650,3695,0.1,5245,6145,1025,23625,37.6,10,30,65,15,25,0,0,10,0,1295,10,Cebuano,5325.31,16.68,23986.72,52.91,4.45,1040.69
Regina--Qu'Appelle,Saskatchewan,78140,4.1,3165,2345,0,2775,2445,565,9355,38.4,15,85,190,30,225,10,0,40,5,2560,10,Ilocano,3551.32,23.11,11972.10,34.97,7.1,723.06
Regina--Wascana,Saskatchewan,89087,4.2,3635,2665,0.1,4030,6625,865,22720,38.4,10,60,105,35,125,10,0,25,5,1590,10,Ilocano,4523.67,13.06,25503.16,36.40,6.33,970.96
Saskatoon--Grasswood,Saskatchewan,93277,3.0,2700,1645,0,5660,6315,675,26770,38,5,60,135,25,95,10,0,15,10,1970,5,Cebuano,6067.95,10.69,28699.47,64.13,5.79,723.65
Saskatoon--University,Saskatchewan,88348,3.3,2900,2465,0,5270,5885,720,25630,36.4,5,30,70,30,75,10,0,20,0,1490,5,Ilocano,5965.05,12.23,29010.28,17.65,4.32,814.96
Saskatoon West,Saskatchewan,87855,10.2,8765,6765,0,3840,4855,1455,13785,36.4,35,100,260,55,185,20,5,35,5,4865,15,Cebuano,4370.84,29.97,15690.63,29.56,4.66,1656.14
Souris--Moose Mountain,Saskatchewan,70579,4.0,2740,2195,0,2570,1555,995,6355,40.8,5,30,100,5,50,0,5,10,5,1365,5,Cebuano,3641.31,63.99,9004.09,24.83,6.33,1409.77
Yorkton--Melville,Saskatchewan,71220,3.2,2225,1870,0,2935,1270,410,6565,45.6,0,25,55,10,50,5,0,15,0,1145,0,Cebuano,4121.03,32.28,9217.92,18.98,4.21,575.68
Banff--Airdrie,Alberta,155580,3.3,4940,2860,0.1,6050,4840,1185,31480,38,15,35,75,35,85,5,0,25,10,2585,5,Ilocano,3888.67,24.48,20233.96,72.73,2.96,761.67
Battle River--Crowfoot,Alberta,107979,2.8,2790,2050,0,4425,1875,1030,10330,43.6,10,45,70,20,45,0,0,15,5,1380,10,Cebuano,4098.02,54.93,9566.68,36.10,4.37,953.89
Bow River,Alberta,119458,3.6,4120,3145,0.1,3550,3600,845,12215,38.4,20,90,180,65,130,0,0,25,5,1980,45,Cebuano,2971.76,23.47,10225.35,31.00,7.08,707.36
Calgary Centre,Alberta,130010,3.0,3830,3150,0.1,6695,8890,865,57120,36,5,40,80,50,110,0,0,15,5,1925,10,Ilocano,5149.60,9.73,43935.08,21.59,4.91,665.33
Calgary Confederation,Alberta,124064,2.4,2900,2675,0.1,6420,5690,655,49490,38.4,10,35,60,50,70,0,10,10,5,1370,5,Ilocano,5174.75,11.51,39890.70,8.41,4.31,527.95
Calgary Forest Lawn,Alberta,107939,11.6,12410,11000,0.1,3460,9030,2590,12845,39.2,30,120,245,140,650,25,0,65,25,6415,25,Ilocano,3205.51,28.68,11900.24,12.82,8.4,2399.50
Calgary Heritage,Alberta,109141,8.8,9510,8265,0.1,4815,5450,1760,32400,41.6,15,100,195,125,580,25,15,30,25,4680,35,Ilocano,4411.72,32.29,29686.37,15.06,9.96,1612.59
Calgary Midnapore,Alberta,129110,7.8,9915,6955,0.1,5375,6130,2000,32375,40.4,15,115,290,115,375,25,25,80,30,4940,25,Ilocano,4163.12,32.63,25075.52,42.56,6.21,1549.07
Calgary Nose Hill,Alberta,115287,4.5,5130,4295,0.1,4745,6755,895,31240,40.8,15,30,80,45,170,0,0,20,10,2605,5,Ilocano,4115.82,13.25,27097.59,19.44,5.7,776.32
Calgary Rocky Ridge,Alberta,145326,4.1,5875,4675,0,7565,7860,720,48475,38,15,40,145,45,135,10,0,25,10,2935,5,Cebuano,5205.54,9.16,33356.04,25.67,4.31,495.44
Calgary Shepard,Alberta,163447,7.8,12705,9230,0,7195,7425,2085,36415,37.2,30,105,265,110,480,45,5,85,25,6075,20,Ilocano,4402.04,28.08,22279.39,37.65,6.63,1275.64
Calgary Signal Hill,Alberta,122818,3.5,4285,4365,0.1,5810,5925,950,43505,40.8,5,40,100,95,170,5,5,20,15,1820,5,Ilocano,4730.58,16.03,35422.33,-1.83,7.46,773.50
Calgary Skyview,Alberta,159642,11.1,17655,13040,0.1,6595,18170,2965,33580,34,45,245,375,180,670,55,15,105,60,8490,15,Ilocano,4131.12,16.32,21034.56,35.39,6.53,1857.28
Edmonton Centre,Alberta,109125,5.1,5420,5885,0.1,5620,7485,1400,32040,38,20,60,155,120,185,5,10,25,10,2840,5,Ilocano,5150.06,18.70,29360.82,-7.90,5.39,1282.93
Edmonton Griesbach,Alberta,111699,4.9,5300,4090,0.2,3655,7020,1410,13995,40,15,30,155,95,140,5,0,35,10,2750,10,Cebuano,3272.19,20.09,12529.21,29.58,4.78,1262.32
Edmonton Manning,Alberta,132224,5.5,7195,4955,0.2,5750,7925,1420,18900,36.4,10,55,215,55,175,10,0,30,10,3545,10,Cebuano,4348.68,17.92,14293.93,45.21,5.22,1073.94
Edmonton Mill Woods,Alberta,125992,8.7,10810,8625,0.2,5075,10420,1840,24990,36,25,105,260,100,350,0,0,105,35,5570,15,Ilocano,4028.03,17.66,19834.59,25.33,5.33,1460.41
Edmonton Riverbend,Alberta,124144,4.2,5210,4695,0.1,7505,7505,1085,43180,39.6,15,45,150,55,130,0,0,35,10,2465,10,Cebuano,6045.40,14.46,34782.19,10.97,5.14,873.99
Edmonton Strathcona,Alberta,102188,2.7,2700,2960,0.2,6015,4155,805,35810,37.6,10,30,100,35,80,5,0,15,5,1355,10,Cebuano,5886.21,19.37,35043.25,-8.78,6.08,787.76
Edmonton West,Alberta,134194,14.3,18960,13730,0.1,7040,9570,4030,29735,38,30,180,475,220,810,85,15,110,65,9640,20,Ilocano,5246.14,42.11,22158.22,38.09,6.95,3003.11
Edmonton--Wetaskiwin,Alberta,209431,6.7,13940,8150,0.1,9765,13480,2795,43110,35.2,25,160,370,105,360,5,5,75,35,7070,20,Cebuano,4662.63,20.73,20584.35,71.04,4.5,1334.57
Foothills,Alberta,115118,2.7,3050,2235,0,4250,2215,1045,19895,44.8,35,50,95,50,80,0,5,20,5,1635,0,Cebuano,3691.86,47.18,17282.27,36.47,4.81,907.76
Fort McMurray--Cold Lake,Alberta,110163,6.5,7080,5720,0.1,2785,4765,2310,14345,34.8,15,90,140,60,215,25,0,35,30,3590,20,Ilocano,2528.07,48.48,13021.61,23.78,5.09,2096.89
Grande Prairie--Mackenzie,Alberta,119586,4.4,5130,3850,0.1,4115,3155,1590,11980,35.6,5,60,145,45,225,15,15,25,10,2595,20,Ilocano,3441.04,50.40,10017.90,33.25,7.12,1329.59
Lakeland,Alberta,105993,2.9,2930,2005,0,3640,1855,910,9715,41.2,5,35,75,35,80,5,0,15,5,1445,5,Ilocano,3434.19,49.06,9165.70,46.13,4.69,858.55
Lethbridge,Alberta,123847,2.0,2400,1815,0,6360,3645,760,19990,37.2,0,30,110,30,45,5,0,20,0,1385,0,Cebuano,5135.37,20.85,16140.88,32.23,6.77,613.66
Medicine Hat--Cardston--Warner,Alberta,108391,1.3,1340,850,0,4775,1820,505,11595,40.4,0,20,40,5,40,0,0,5,0,700,5,Cebuano & Ilocano,4405.35,27.75,10697.38,57.65,9.82,465.91
Peace River--Westlock,Alberta,107223,3.4,3540,2235,0.1,3090,1990,1220,7860,36.4,10,35,50,30,75,0,0,10,5,1695,5,Ilocano,2881.84,61.31,7330.52,58.39,3.92,1137.82
Red Deer--Mountain View,Alberta,120739,3.5,4060,3415,0,5620,2115,745,15400,41.6,15,45,95,35,160,0,0,25,5,2205,10,Ilocano,4654.67,35.22,12754.79,18.89,6.17,617.03
Red Deer--Lacombe,Alberta,131575,5.4,6965,4865,0,5720,3470,1855,13385,38,25,55,130,60,260,0,0,80,25,3285,30,Ilocano,4347.33,53.46,10172.91,43.17,6.58,1409.84
St. Albert--Edmonton,Alberta,130822,5.2,6720,4770,0.1,6305,3945,1135,25440,38.8,15,60,130,60,150,0,0,45,10,3290,5,Ilocano,4819.53,28.77,19446.27,40.88,3.98,867.59
Sherwood Park--Fort Saskatchewan,Alberta,126313,2.6,3290,2350,0,5320,2210,935,21180,40.8,5,20,45,20,60,0,0,20,15,1735,0,Ilocano,4211.76,42.31,16767.87,40.00,3.13,740.22
Sturgeon River--Parkland,Alberta,124849,1.8,2160,1535,0.1,4390,1370,585,13100,39.2,5,35,40,45,65,0,0,5,0,1085,0,Ilocano,3516.25,42.70,10492.68,40.72,5.08,468.57
Yellowhead,Alberta,99218,2.5,2440,1765,0,3000,1415,680,8240,42,0,30,65,40,65,5,5,15,5,1190,0,Cebuano & Ilocano,3023.64,48.06,8304.94,38.24,9.15,685.36
Abbotsford,British Columbia,110331,1.9,2105,1215,0,4385,4070,320,17465,40,20,10,55,5,90,0,0,5,5,930,0,Ilocano,3974.40,7.86,15829.64,73.25,8.04,290.04
Burnaby North--Seymour,British Columbia,108794,2.9,3065,2985,0,3720,5100,315,34785,41.6,0,20,55,25,105,0,0,10,0,1295,5,Ilocano,3419.31,6.18,31973.27,2.68,6.93,289.54
Burnaby South,British Columbia,120305,6.4,7635,6890,0,4385,10375,725,42870,40,15,55,115,85,270,10,10,55,5,3775,20,Ilocano,3644.90,6.99,35634.43,10.81,6.12,602.63
Cariboo--Prince George,British Columbia,111226,1.5,1605,1165,0,4095,1800,215,13820,41.6,0,45,60,15,30,0,0,10,0,680,5,Cebuano,3681.69,11.94,12425.15,37.77,7.09,193.30
Central Okanagan--Similkameen--Nicola,British Columbia,122340,0.9,1105,750,0,5090,1535,260,18770,50,0,15,25,10,35,0,0,0,0,600,0,Ilocano,4160.54,16.94,15342.49,47.33,5.11,212.52
Chilliwack--Hope,British Columbia,112037,1.4,1590,835,0,3810,1700,205,13425,42.8,0,15,55,0,55,0,0,10,10,645,0,Cebuano & Ilocano,3400.66,12.06,11982.65,90.42,13.92,182.98
Cloverdale--Langley City,British Columbia,130665,6.0,7835,4955,0,5045,6250,650,24335,38,20,55,160,70,235,0,15,40,15,3300,5,Ilocano,3861.02,10.40,18623.96,58.12,6,497.46
Coquitlam--Port Coquitlam,British Columbia,132004,3.8,4895,4510,0.1,4865,6790,455,36770,41.6,15,35,115,40,130,0,0,15,10,2340,5,Ilocano,3685.49,6.70,27855.22,8.54,4.81,344.69
Courtenay--Alberni,British Columbia,125116,0.9,1145,690,0,5040,1160,210,20460,54,0,5,40,5,10,0,0,10,0,480,5,Cebuano,4028.26,18.10,16352.82,65.94,7.2,167.84
Cowichan--Malahat--Langford,British Columbia,124247,1.6,2015,935,0,5355,2065,430,20675,44.8,5,20,65,20,55,0,0,0,0,935,0,Cebuano,4309.96,20.82,16640.24,115.51,5.9,346.08
Delta,British Columbia,110721,3.4,3765,2665,0,3805,4440,350,24150,44,5,30,65,35,105,0,0,20,5,1605,20,Ilocano,3436.57,7.88,21811.58,41.28,5.56,316.11
Fleetwood--Port Kells,British Columbia,124987,9.9,12310,10540,0,5655,8020,1055,29910,39.6,20,80,205,90,470,25,5,60,25,6025,20,Ilocano,4524.47,13.15,23930.49,16.79,6.69,844.09
Kamloops--Thompson--Cariboo,British Columbia,135492,0.9,1195,790,0,6090,1585,300,19905,45.2,0,10,30,10,40,0,0,10,0,525,0,Ilocano,4494.73,18.93,14690.90,51.27,6.4,221.42
Kelowna--Lake Country,British Columbia,136290,1.5,2050,1310,0,6870,3015,420,27580,42.4,5,20,65,20,75,0,0,5,0,945,5,Ilocano,5040.72,13.93,20236.26,56.49,6.58,308.17
Kootenay--Columbia,British Columbia,120759,0.9,1090,705,0,4355,2025,340,20040,45.2,0,0,25,5,15,0,0,5,0,550,0,Cebuano,3606.36,16.79,16595.04,54.61,4.16,281.55
Langley--Aldergrove,British Columbia,133168,1.9,2490,1660,0,4500,3685,230,24150,41.2,0,15,30,10,55,0,0,5,5,1155,0,Ilocano,3379.19,6.24,18134.99,50.00,4.31,172.71
Mission--Matsqui--Fraser Canyon,British Columbia,101216,0.8,840,585,0,3050,2575,85,11445,41.2,0,0,20,5,20,0,0,5,0,455,0,Cebuano & Ilocano,3013.36,3.30,11307.50,43.59,7.92,83.98
Nanaimo--Ladysmith,British Columbia,134509,1.2,1620,1095,0,6070,2440,235,25555,47.2,5,15,50,10,40,5,0,10,0,770,0,Cebuano,4512.71,9.63,18998.73,47.95,5.52,174.71
New Westminster--Burnaby,British Columbia,125253,9.0,11040,9675,0,5550,9260,1000,37130,40.4,25,80,215,130,345,35,10,75,50,5450,25,Ilocano,4431.03,10.80,29644.00,14.11,5.36,798.38
North Okanagan--Shuswap,British Columbia,136520,0.8,1055,600,0,5310,1225,250,17225,51.6,0,20,30,10,20,0,0,0,0,500,0,Cebuano,3889.54,20.41,12617.20,75.83,5.16,183.12
North Vancouver,British Columbia,123025,4.4,5360,4665,0.1,5280,6255,835,44965,43.2,20,35,70,60,405,10,0,20,15,2345,10,Ilocano,4291.81,13.35,36549.48,14.90,13.55,678.72
Pitt Meadows--Maple Ridge,British Columbia,110416,3.5,3815,2485,0,3925,2585,410,17260,41.6,5,15,60,40,50,0,0,5,5,1670,10,Cebuano,3554.74,15.86,15631.79,53.52,3.22,371.32
Port Moody--Coquitlam,British Columbia,114853,3.7,4210,4035,0,4415,5175,350,33635,41.6,5,20,95,70,125,0,0,15,5,1880,0,Ilocano,3844.04,6.76,29285.26,4.34,5.64,304.74
Prince George--Peace River--Northern Rockies,British Columbia,108998,2.6,2755,1845,0,3325,1905,720,11280,38,20,20,100,15,50,0,0,35,5,1395,5,Cebuano,3050.51,37.80,10348.81,49.32,6.08,660.56
Richmond Centre,British Columbia,107707,6.1,6495,5915,0,3195,7800,845,36255,43.2,20,35,110,75,200,0,10,70,30,3455,20,Ilocano,2966.38,10.83,33660.76,9.81,4.97,784.54
Esquimalt--Saanich--Sooke,British Columbia,128644,2.2,2830,2370,0.1,5725,3040,560,28205,44,5,60,80,25,65,10,0,10,5,1390,0,Cebuano,4450.27,18.42,21924.85,19.41,4.85,435.31
Saanich--Gulf Islands,British Columbia,113541,1.4,1605,1185,0,4640,1975,240,34145,52.4,5,10,40,40,40,0,0,0,0,740,0,Mixed (more than two),4086.63,12.15,30072.84,35.44,13.71,211.38
Skeena--Bulkley Valley,British Columbia,89689,1.1,965,760,0,2940,1040,180,10180,41.2,0,10,40,10,20,0,0,0,0,440,0,Cebuano,3277.99,17.31,11350.33,26.97,7.68,200.69
South Okanagan--West Kootenay,British Columbia,123487,0.8,995,695,0,5255,1270,165,17320,53.2,0,15,25,10,30,0,0,0,0,430,0,Ilocano,4255.51,12.99,14025.77,43.17,5.88,133.62
South Surrey--White Rock,British Columbia,119672,2.1,2460,1340,0,4435,5140,310,33035,47.6,0,25,30,15,50,0,0,5,0,915,5,Ilocano,3705.96,6.03,27604.62,83.58,4.78,259.04
Steveston--Richmond East,British Columbia,102230,8.5,8635,7655,0,3420,5900,740,30200,43.6,25,50,180,80,220,0,5,45,10,4285,10,Ilocano,3345.40,12.54,29541.23,12.80,4.48,723.86
Surrey Centre,British Columbia,131670,10.3,13365,10710,0.1,5035,13060,1750,25450,36,35,170,315,155,560,30,5,45,40,6695,25,Ilocano,3823.95,13.40,19328.62,24.79,6.93,1329.08
Surrey--Newton,British Columbia,122264,4.7,5650,5485,0,4220,9840,575,22985,36,15,80,135,50,240,15,0,35,10,2705,10,Ilocano,3451.55,5.84,18799.48,3.01,7.28,470.29
Vancouver Centre,British Columbia,126995,2.0,2525,2075,0.1,5370,11950,170,65115,38.4,10,10,30,10,35,0,0,5,5,1110,5,Ilocano,4228.51,1.42,51273.67,21.69,2.87,133.86
Vancouver East,British Columbia,118675,4.5,5170,5130,0.1,4485,5105,385,38915,39.2,15,35,100,75,215,10,5,15,10,2345,10,Ilocano,3779.23,7.54,32791.24,0.78,7.58,324.42
Vancouver Granville,British Columbia,109799,3.7,3970,3740,0.1,6185,6480,480,51165,40,15,25,75,75,155,5,10,10,10,1940,10,Ilocano,5633.02,7.41,46598.79,6.15,6.65,437.16
North Island--Powell River,British Columbia,111825,0.8,925,760,0,4615,995,130,16300,50.8,0,5,30,20,30,0,0,10,5,400,0,Cebuano & Ilocano,4126.98,13.07,14576.35,21.71,12,116.25
Vancouver Kingsway,British Columbia,108054,12.4,13280,12975,0,4915,5970,1390,30750,39.6,35,55,205,165,745,10,15,110,45,6595,20,Ilocano,4548.65,23.28,28457.99,2.35,9.31,1286.39
Vancouver Quadra,British Columbia,109328,1.3,1420,995,0.1,4665,6960,125,53450,40.4,0,10,10,30,30,0,0,0,0,515,5,Hiligaynon & Ilocano,4266.98,1.80,48889.58,42.71,10,114.33
Vancouver South,British Columbia,109339,11.5,12420,11680,0,4720,6710,1900,30025,41.2,45,90,235,220,665,10,25,65,35,6230,15,Ilocano,4316.85,28.32,27460.47,6.34,8.71,1737.71
Victoria,British Columbia,123482,2.3,2775,2045,0,6785,3960,680,47490,44.4,0,35,80,35,120,5,0,10,0,1345,10,Ilocano,5494.73,17.17,38459.05,35.70,7.32,550.69
West Vancouver--Sunshine Coast--Sea to Sky Country,British Columbia,131206,1.7,2215,2010,0,4595,5185,230,41110,45.6,10,15,65,25,65,10,0,0,0,1050,0,Cebuano & Ilocano,3502.13,4.44,31332.41,10.20,10.48,175.30
Yukon,Yukon,40232,4.9,1945,1195,0.2,1525,1125,230,8965,39.2,5,20,80,70,50,0,0,20,0,985,10,Cebuano,3790.52,20.44,22283.26,62.76,6.45,571.68
Northwest Territories,Northwest Territories,41070,4.1,1665,1300,0.2,1310,810,275,7070,35.6,5,20,60,30,65,0,0,10,5,790,5,Ilocano,3189.68,33.95,17214.51,28.08,6.57,669.59
Nunavut,Nunavut,36858,0.9,315,230,0.2,540,240,50,2605,25.6,0,5,0,5,10,0,0,0,0,185,5,Ilocano,1465.08,20.83,7067.67,36.96,4.76,135.66
